trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,1,201,208.432404,213.182793,954.8281,0.022791,close_tp,1
1,2025-07-07,2025-07-09,1,186,212.193773,206.71155,-1019.6936,-0.025836,close_sl,2
2,2025-07-10,2025-07-24,1,192,210.028738,212.951632,561.1956,0.013917,close_horizon,10
3,2025-07-25,2025-07-29,1,243,214.209166,210.076324,-1004.2804,-0.019293,close_sl,2
4,2025-07-30,2025-07-30,1,250,211.415559,207.472879,-985.67,-0.018649,close_sl,0
5,2025-07-31,2025-08-01,1,327,208.013377,204.148773,-1263.7254,-0.018579,close_sl,1
6,2025-08-04,2025-08-06,1,324,204.042464,207.573203,1143.9594,0.017304,close_tp,2
7,2025-08-07,2025-08-08,1,193,218.379614,224.440343,1169.7207,0.027753,close_tp,1
8,2025-08-11,2025-08-25,1,148,227.657015,226.557798,-162.6841,-0.004828,close_horizon,10
9,2025-08-26,2025-09-03,1,139,226.608232,235.165094,1189.4038,0.037761,close_tp,5
10,2025-09-04,2025-09-10,1,105,238.174863,229.110538,-951.7541,-0.038057,close_sl,4
11,2025-09-11,2025-09-12,1,141,226.618227,232.993224,898.8746,0.028131,close_tp,1
12,2025-09-15,2025-09-19,1,133,236.726539,243.599963,914.1654,0.029035,close_tp,4
13,2025-09-22,2025-09-22,1,125,248.013507,255.513921,937.5517,0.030242,close_tp,0
14,2025-09-23,2025-10-07,1,107,255.584767,255.800102,23.0408,0.000843,close_horizon,10
15,2025-10-08,2025-10-10,1,104,256.224037,247.964787,-858.962,-0.032234,close_sl,2
16,2025-10-13,2025-10-20,1,104,249.092266,256.942449,816.4189,0.031515,close_tp,5
17,2025-10-21,2025-10-28,1,109,261.577826,269.085434,818.3293,0.028701,close_tp,5
18,2025-10-29,2025-11-12,1,113,268.969282,273.009445,456.5384,0.015021,close_horizon,10
19,2025-11-13,2025-11-17,1,134,274.059134,266.861304,-964.5092,-0.026264,close_sl,2
20,2025-11-18,2025-11-24,1,171,269.93991,275.168269,894.0494,0.019369,close_tp,4
21,2025-11-25,2025-12-01,1,241,275.218927,280.191499,1198.3899,0.018068,close_tp,3
22,2025-12-02,2025-12-08,1,228,282.947486,277.202342,-1309.8928,-0.020305,close_sl,4
23,2025-12-09,2025-12-16,1,209,278.108388,271.947286,-1287.6702,-0.022154,close_sl,5
24,2025-12-17,2025-12-18,1,242,274.958991,269.673793,-1279.018,-0.019222,close_sl,1
25,2025-12-19,2026-01-02,1,234,272.099508,277.093224,1168.5296,0.018353,close_tp,8
26,2026-01-05,2026-01-05,1,377,270.589798,267.104421,-1313.9869,-0.012881,close_sl,0
27,2026-01-06,2026-01-06,1,377,266.950455,263.42828,-1327.8599,-0.013194,close_sl,0
28,2026-01-07,2026-01-08,1,377,263.151167,259.199854,-1489.6449,-0.015015,close_sl,1
29,2026-01-09,2026-01-16,1,372,259.031924,255.097933,-1463.4446,-0.015187,close_sl,5
30,2026-01-20,2026-01-20,1,381,252.683108,249.11912,-1357.8792,-0.014105,close_sl,0
31,2026-01-21,2026-01-26,1,279,248.65386,253.292688,1294.2331,0.018656,close_tp,3
32,2026-01-27,2026-01-30,1,216,259.121913,252.71732,-1383.3921,-0.024717,close_sl,3
33,2026-02-02,2026-02-02,1,148,259.981758,266.404946,950.6319,0.024706,close_tp,0
34,2026-02-03,2026-02-04,1,116,269.150063,277.464945,964.5264,0.030893,close_tp,1
35,2026-02-05,2026-02-12,1,114,278.078397,269.079939,-1025.8243,-0.032359,close_sl,5
