trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,-1,79,208.11999,213.182767,-399.9594,-0.024326,close_sl,1
1,2025-07-08,2025-07-21,-1,34,209.305505,214.89465,-190.0309,-0.026703,close_sl,9
2,2025-07-22,2025-07-30,-1,32,212.334,208.533083,121.6294,0.017901,close_tp,6
3,2025-07-31,2025-08-01,-1,117,207.701591,211.565956,-452.1306,-0.018605,close_sl,1
4,2025-08-04,2025-08-06,-1,117,203.73663,207.573263,-448.8861,-0.018831,close_sl,2
5,2025-08-14,2025-08-21,-1,16,233.439511,225.172052,132.2793,0.035416,close_tp,5
6,2025-08-26,2025-09-03,-1,35,226.268575,235.165042,-311.3763,-0.039318,close_sl,5
7,2025-09-04,2025-09-10,-1,34,237.817868,229.110504,296.0504,0.036614,close_tp,4
8,2025-09-11,2025-09-12,-1,93,226.278554,232.993214,-624.4633,-0.029674,close_sl,1
9,2025-09-15,2025-09-19,-1,59,236.371715,243.599963,-426.4666,-0.03058,close_sl,4
10,2025-09-22,2025-09-22,-1,34,247.641766,255.513992,-267.6557,-0.031789,close_sl,0
11,2025-09-23,2025-10-07,-1,30,255.201677,256.18409,-29.4724,-0.00385,close_horizon,10
12,2025-10-08,2025-10-10,-1,71,255.839989,247.964834,559.136,0.030782,close_tp,2
13,2025-10-13,2025-10-20,-1,83,248.718908,256.942462,-682.555,-0.033064,close_sl,5
14,2025-10-21,2025-10-28,-1,36,261.185753,269.085363,-284.3859,-0.030245,close_sl,5
15,2025-10-29,2025-11-12,-1,36,268.56613,273.419266,-174.7129,-0.018071,close_horizon,10
16,2025-11-13,2025-11-17,-1,70,273.648353,266.861296,475.094,0.024802,close_tp,2
17,2025-11-18,2025-11-20,-1,116,269.535303,275.168222,-653.4185,-0.020899,close_sl,2
18,2025-11-21,2025-11-21,-1,119,265.502101,270.737201,-622.9769,-0.019718,close_sl,0
19,2025-11-24,2025-11-24,-1,72,270.443767,276.075401,-405.4777,-0.020824,close_sl,0
20,2025-11-25,2025-11-25,-1,85,274.806408,280.191486,-457.7317,-0.019596,close_sl,0
21,2025-11-26,2025-12-01,-1,97,276.493557,281.919481,-526.3147,-0.019624,close_sl,2
22,2025-12-02,2025-12-03,-1,63,282.523383,288.268239,-361.9259,-0.020334,close_sl,1
23,2025-12-04,2025-12-05,-1,74,283.621531,278.118433,407.2293,0.019403,close_tp,1
24,2025-12-08,2025-12-16,-1,51,277.661582,271.892366,294.23,0.020778,close_tp,6
25,2025-12-17,2025-12-18,-1,136,274.546862,269.673804,662.7359,0.017749,close_tp,1
26,2025-12-19,2026-01-02,-1,134,271.691664,277.093264,-723.8144,-0.019881,close_sl,8
27,2026-01-05,2026-01-05,-1,81,270.184217,267.104378,249.467,0.011399,close_tp,0
28,2026-01-06,2026-01-06,-1,76,266.55033,263.428223,237.2801,0.011713,close_tp,0
29,2026-01-07,2026-01-08,-1,65,262.756736,259.199854,231.1973,0.013537,close_tp,1
30,2026-01-09,2026-01-16,-1,55,258.643667,255.09798,195.0128,0.013709,close_tp,5
31,2026-01-20,2026-01-20,1,73,252.683108,249.11912,-260.1711,-0.014105,close_sl,0
32,2026-01-21,2026-01-26,1,47,248.65386,253.292688,218.0249,0.018656,close_tp,3
33,2026-01-27,2026-01-30,-1,21,258.733521,252.717296,126.3407,0.023253,close_tp,3
34,2026-02-02,2026-02-02,-1,25,259.592077,266.404954,-170.3219,-0.026245,close_sl,0
35,2026-02-03,2026-02-04,-1,24,268.74664,277.464943,-209.2393,-0.032441,close_sl,1
36,2026-02-05,2026-02-12,-1,20,277.661592,269.079859,171.6347,0.030907,close_tp,5
