trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-08,-1,84710,1.180495,1.170559,841.7091,0.008417,close_tp,4
1,2025-07-09,2025-07-15,-1,86013,1.172398,1.163158,794.7467,0.007881,close_tp,4
2,2025-07-16,2025-07-16,-1,87566,1.160681,1.168658,-698.5388,-0.006873,close_sl,0
3,2025-07-17,2025-07-21,-1,86752,1.163517,1.171359,-680.2513,-0.006739,close_sl,2
4,2025-07-22,2025-07-24,-1,85734,1.169395,1.177259,-674.167,-0.006724,close_sl,2
5,2025-07-25,2025-07-28,-1,84711,1.175554,1.168858,567.2201,0.005696,close_tp,1
6,2025-07-29,2025-07-29,-1,86365,1.159618,1.153058,566.5616,0.005657,close_tp,0
7,2025-07-30,2025-07-31,1,87189,1.155152,1.145843,-811.6907,-0.008059,close_sl,1
8,2025-08-01,2025-08-01,1,87449,1.142431,1.152742,901.7044,0.009026,close_tp,0
9,2025-08-04,2025-08-07,1,86998,1.158726,1.169142,906.1334,0.008989,close_tp,3
10,2025-08-08,2025-08-22,1,71804,1.167723,1.161247,-465.0131,-0.005546,close_horizon,10
11,2025-08-25,2025-09-08,1,71941,1.171019,1.171258,17.2342,0.000205,close_horizon,10
12,2025-09-09,2025-09-11,1,86039,1.176972,1.166942,-863.0413,-0.008523,close_sl,2
13,2025-09-12,2025-09-16,1,85555,1.173533,1.183641,864.7346,0.008613,close_tp,2
14,2025-09-17,2025-09-18,1,85299,1.1872,1.177641,-815.3786,-0.008052,close_sl,1
15,2025-09-19,2025-09-25,1,85189,1.179165,1.168442,-913.5341,-0.009094,close_sl,4
16,2025-09-26,2025-10-01,-1,85351,1.166218,1.176259,-857.0218,-0.00861,close_sl,3
17,2025-10-02,2025-10-08,-1,84102,1.173347,1.163258,848.5097,0.008599,close_tp,4
18,2025-10-09,2025-10-17,-1,85570,1.163138,1.172459,-797.5411,-0.008013,close_sl,6
19,2025-10-20,2025-10-30,-1,84698,1.165687,1.156858,747.8501,0.007575,close_tp,8
20,2025-10-31,2025-11-04,1,85958,1.157305,1.150242,-607.0428,-0.006102,close_sl,2
21,2025-11-05,2025-11-07,1,86080,1.148611,1.155742,613.8205,0.006208,close_tp,2
22,2025-11-10,2025-11-13,1,86097,1.155513,1.162442,596.5858,0.005997,close_tp,3
23,2025-11-14,2025-11-19,1,86046,1.163133,1.156842,-541.2819,-0.005408,close_sl,3
24,2025-11-20,2025-11-26,1,86249,1.154126,1.159542,467.1422,0.004693,close_tp,4
25,2025-11-27,2025-12-03,1,86183,1.16042,1.166542,527.5819,0.005275,close_tp,4
26,2025-12-04,2025-12-08,1,86170,1.166729,1.161642,-438.345,-0.00436,close_sl,2
27,2025-12-09,2025-12-11,1,85980,1.164202,1.169142,424.66,0.004242,close_tp,2
28,2025-12-12,2025-12-16,1,85610,1.174195,1.180041,500.4869,0.004979,close_tp,2
29,2025-12-17,2025-12-24,-1,85984,1.174905,1.180559,-486.1485,-0.004812,close_sl,5
30,2025-12-26,2025-12-31,1,85314,1.178443,1.173041,-460.805,-0.004583,close_sl,3
31,2026-01-02,2026-01-05,1,85159,1.175175,1.169542,-479.7057,-0.004793,close_sl,1
32,2026-01-06,2026-01-08,1,85001,1.171705,1.165942,-489.8608,-0.004918,close_sl,2
33,2026-01-09,2026-01-15,1,85007,1.165872,1.160042,-495.5891,-0.005001,close_sl,4
34,2026-01-16,2026-01-20,1,84935,1.161013,1.166042,427.1325,0.004332,close_tp,2
35,2026-01-21,2026-01-26,1,84456,1.172667,1.178041,453.9143,0.004583,close_tp,3
36,2026-01-27,2026-01-27,1,83784,1.187482,1.19644,750.5314,0.007544,close_tp,0
37,2026-01-28,2026-01-28,1,83374,1.20233,1.19314,-766.1808,-0.007643,close_sl,0
38,2026-01-29,2026-02-02,1,83055,1.197722,1.186741,-912.0649,-0.009169,close_sl,2
39,2026-02-03,2026-02-09,1,83531,1.179972,1.19204,1008.0718,0.010228,close_tp,4
40,2026-02-10,2026-02-19,1,83637,1.190536,1.178041,-1045.0115,-0.010495,close_sl,7
