trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-08,-1,16654,1.180495,1.170559,165.4801,0.008417,close_tp,4
1,2025-07-09,2025-07-15,1,16000,1.172515,1.163142,-149.9745,-0.007994,close_sl,4
2,2025-07-17,2025-07-21,1,15195,1.163634,1.171341,117.1206,0.006624,close_tp,2
3,2025-07-24,2025-07-28,-1,14672,1.177368,1.170159,105.7716,0.006123,close_tp,2
4,2025-08-01,2025-08-01,-1,11689,1.142317,1.152758,-122.0415,-0.00914,close_sl,0
5,2025-08-04,2025-08-07,1,18024,1.158726,1.169142,187.7302,0.008989,close_tp,3
6,2025-08-22,2025-09-05,-1,15669,1.161247,1.175159,-217.9795,-0.01198,close_sl,10
7,2025-09-08,2025-09-16,-1,12732,1.171258,1.180959,-123.5099,-0.008282,close_sl,6
8,2025-09-17,2025-09-18,-1,24936,1.187081,1.177559,237.4553,0.008022,close_tp,1
9,2025-09-19,2025-09-25,-1,10582,1.179047,1.168358,113.1096,0.009066,close_tp,4
10,2025-10-01,2025-10-08,-1,9333,1.173526,1.162658,101.4322,0.009261,close_tp,5
11,2025-10-09,2025-10-17,-1,26149,1.163138,1.172459,-243.7174,-0.008013,close_sl,6
12,2025-10-20,2025-10-30,-1,23753,1.165687,1.156858,209.7297,0.007575,close_tp,8
13,2025-10-31,2025-11-04,-1,28687,1.157189,1.150258,198.8393,0.00599,close_tp,2
14,2025-11-05,2025-11-07,1,28000,1.148611,1.155742,199.6628,0.006208,close_tp,2
15,2025-11-10,2025-11-13,1,21433,1.155513,1.162442,148.5141,0.005997,close_tp,3
16,2025-11-14,2025-11-19,1,21405,1.163133,1.156842,-134.6505,-0.005408,close_sl,3
17,2025-11-20,2025-11-26,-1,56708,1.15401,1.159558,-314.5914,-0.004807,close_sl,4
18,2025-11-27,2025-12-03,-1,42493,1.160304,1.166458,-261.5161,-0.005304,close_sl,4
19,2025-12-04,2025-12-11,-1,54512,1.166612,1.171759,-280.5383,-0.004411,close_sl,5
20,2025-12-12,2025-12-16,-1,41414,1.174077,1.179959,-243.5781,-0.005009,close_sl,2
21,2025-12-17,2025-12-24,-1,84851,1.174905,1.180559,-479.7426,-0.004812,close_sl,5
22,2025-12-26,2025-12-31,-1,55137,1.178325,1.173059,290.3591,0.004469,close_tp,3
23,2026-01-02,2026-01-05,-1,57649,1.175057,1.169558,316.9884,0.004679,close_tp,1
24,2026-01-06,2026-01-08,-1,55893,1.171588,1.165858,320.2247,0.00489,close_tp,2
25,2026-01-09,2026-01-15,-1,55806,1.165755,1.160058,317.9488,0.004887,close_tp,4
26,2026-01-16,2026-01-20,-1,70459,1.160897,1.165958,-356.6373,-0.00436,close_sl,2
27,2026-01-21,2026-01-26,-1,37278,1.172549,1.178059,-205.388,-0.004699,close_sl,3
28,2026-01-27,2026-01-27,-1,37359,1.187364,1.19646,-339.8294,-0.007661,close_sl,0
29,2026-01-28,2026-01-28,-1,25700,1.20221,1.19316,232.5887,0.007528,close_tp,0
30,2026-01-29,2026-02-02,-1,13732,1.197602,1.186759,148.8963,0.009054,close_tp,2
31,2026-02-06,2026-02-09,1,11342,1.177804,1.19004,138.7837,0.010389,close_tp,1
32,2026-02-10,2026-02-19,-1,11286,1.190417,1.178059,139.4696,0.010381,close_tp,7
