trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-08,-1,14947,1.180495,1.170559,148.5188,0.008417,close_tp,4
1,2025-07-09,2025-07-15,1,14357,1.172515,1.163142,-134.574,-0.007994,close_sl,4
2,2025-07-17,2025-07-21,1,13637,1.163634,1.171341,105.1118,0.006624,close_tp,2
3,2025-07-24,2025-07-28,-1,13167,1.177368,1.170159,94.922,0.006123,close_tp,2
4,2025-08-01,2025-08-01,-1,11358,1.142317,1.152758,-118.5856,-0.00914,close_sl,0
5,2025-08-04,2025-08-07,1,17515,1.158726,1.169142,182.4286,0.008989,close_tp,3
6,2025-08-22,2025-09-05,-1,15636,1.161247,1.175159,-217.5204,-0.01198,close_sl,10
7,2025-09-08,2025-09-16,-1,12303,1.171258,1.180959,-119.3483,-0.008282,close_sl,6
8,2025-09-17,2025-09-18,-1,24097,1.187081,1.177559,229.4659,0.008022,close_tp,1
9,2025-09-19,2025-09-25,-1,10224,1.179047,1.168358,109.283,0.009066,close_tp,4
10,2025-10-01,2025-10-08,-1,10001,1.173526,1.162658,108.6922,0.009261,close_tp,5
11,2025-10-09,2025-10-17,-1,28025,1.163138,1.172459,-261.2024,-0.008013,close_sl,6
12,2025-10-20,2025-10-30,-1,25453,1.165687,1.156858,224.74,0.007575,close_tp,8
13,2025-10-31,2025-11-04,-1,34769,1.157189,1.150258,240.9956,0.00599,close_tp,2
14,2025-11-05,2025-11-07,1,33653,1.148611,1.155742,239.9733,0.006208,close_tp,2
15,2025-11-10,2025-11-13,1,25521,1.155513,1.162442,176.8408,0.005997,close_tp,3
16,2025-11-14,2025-11-19,1,25266,1.163133,1.156842,-158.9386,-0.005408,close_sl,3
17,2025-11-20,2025-11-26,-1,78347,1.15401,1.159558,-434.6352,-0.004807,close_sl,4
18,2025-11-27,2025-12-03,-1,57874,1.160304,1.166458,-356.1759,-0.005304,close_sl,4
19,2025-12-04,2025-12-11,-1,74172,1.166612,1.171759,-381.7156,-0.004411,close_sl,5
20,2025-12-12,2025-12-16,-1,56294,1.174077,1.179959,-331.0954,-0.005009,close_sl,2
21,2025-12-17,2025-12-24,-1,84557,1.174905,1.180559,-478.0803,-0.004812,close_sl,5
22,2025-12-26,2025-12-31,-1,83906,1.178325,1.173059,441.8606,0.004469,close_tp,3
23,2026-01-02,2026-01-05,-1,84515,1.175057,1.169558,464.7136,0.004679,close_tp,1
24,2026-01-06,2026-01-08,-1,85162,1.171588,1.165858,487.914,0.00489,close_tp,2
25,2026-01-09,2026-01-15,-1,84965,1.165755,1.160058,484.0791,0.004887,close_tp,4
26,2026-01-16,2026-01-20,-1,86784,1.160897,1.165958,-439.2684,-0.00436,close_sl,2
27,2026-01-21,2026-01-26,-1,54277,1.172549,1.178059,-299.0463,-0.004699,close_sl,3
28,2026-01-27,2026-01-27,-1,50099,1.187364,1.19646,-455.7165,-0.007661,close_sl,0
29,2026-01-28,2026-01-28,-1,34390,1.20221,1.19316,311.2344,0.007528,close_tp,0
30,2026-01-29,2026-02-02,-1,18389,1.197602,1.186759,199.3922,0.009054,close_tp,2
31,2026-02-06,2026-02-09,1,15197,1.177804,1.19004,185.9545,0.010389,close_tp,1
32,2026-02-10,2026-02-19,-1,15129,1.190417,1.178059,186.9605,0.010381,close_tp,7
