trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-17,1,130,308.271039,307.359304,-118.5255,-0.002958,close_horizon,10
1,2025-07-18,2025-07-22,1,154,309.47192,314.175591,724.3654,0.015199,close_tp,2
2,2025-07-23,2025-07-25,1,137,314.2355,308.425507,-795.969,-0.018489,close_sl,2
3,2025-07-28,2025-07-30,1,137,306.669832,300.943923,-784.4496,-0.018671,close_sl,2
4,2025-07-31,2025-08-04,1,175,304.818439,309.6338,842.6883,0.015797,close_tp,2
5,2025-08-05,2025-08-19,1,150,310.602773,305.041037,-834.2604,-0.017906,close_horizon,10
6,2025-08-20,2025-08-28,1,164,307.770664,312.862177,835.0082,0.016543,close_tp,6
7,2025-08-29,2025-09-02,1,219,314.956041,319.452131,984.6437,0.014275,close_tp,1
8,2025-09-03,2025-09-08,1,197,328.00583,333.065214,996.6986,0.015425,close_tp,3
9,2025-09-09,2025-09-10,1,179,337.282771,331.174633,-1093.3568,-0.01811,close_sl,1
10,2025-09-11,2025-09-15,1,203,333.620023,338.477351,986.0378,0.014559,close_tp,2
11,2025-09-16,2025-09-18,1,207,340.345064,335.020846,-1102.1131,-0.015644,close_sl,2
12,2025-09-19,2025-09-22,1,201,336.762392,341.671854,986.8018,0.014578,close_tp,1
13,2025-09-23,2025-09-24,1,189,348.491183,342.688191,-1096.7656,-0.016652,close_sl,1
14,2025-09-25,2025-09-29,1,179,344.648307,350.180667,990.2925,0.016052,close_tp,2
15,2025-09-30,2025-10-02,1,164,351.393352,357.239769,958.8123,0.016638,close_tp,2
16,2025-10-03,2025-10-06,1,188,357.387835,362.517908,964.4536,0.014354,close_tp,1
17,2025-10-07,2025-10-08,1,177,366.784892,372.277782,972.2415,0.014976,close_tp,1
18,2025-10-09,2025-10-09,1,170,373.41987,367.059499,-1081.2631,-0.017033,close_sl,0
19,2025-10-10,2025-10-13,1,144,367.815664,374.636212,982.159,0.018543,close_tp,1
20,2025-10-14,2025-10-15,1,129,378.493649,386.205628,994.8453,0.020375,close_tp,1
21,2025-10-16,2025-10-20,1,130,391.443356,399.238346,1013.3487,0.019913,close_tp,2
22,2025-10-21,2025-10-21,1,101,386.829914,375.981003,-1095.74,-0.028046,close_sl,0
23,2025-10-22,2025-11-05,1,66,373.029562,366.235127,-448.4327,-0.018214,close_horizon,10
24,2025-11-06,2025-11-12,1,31,367.435374,383.743576,505.5543,0.044384,close_tp,4
25,2025-11-13,2025-11-17,1,30,387.580476,370.089425,-524.7315,-0.045129,close_sl,2
26,2025-11-18,2025-12-01,1,35,375.111109,389.619966,507.81,0.038679,close_tp,8
27,2025-12-02,2025-12-12,1,76,389.161648,397.603873,641.6092,0.021693,close_tp,8
28,2025-12-15,2025-12-22,1,105,398.05833,404.081112,632.3921,0.01513,close_tp,5
29,2025-12-23,2025-12-26,1,166,410.607713,416.107585,912.9788,0.013394,close_tp,2
30,2025-12-29,2025-12-29,1,167,403.962749,397.833001,-1023.6678,-0.015174,close_sl,0
31,2025-12-30,2026-01-09,1,86,403.902706,413.967591,865.5801,0.024919,close_tp,7
32,2026-01-12,2026-01-20,1,75,421.836129,433.571477,880.1511,0.02782,close_tp,5
33,2026-01-21,2026-01-26,1,62,447.205148,461.82687,906.5468,0.032696,close_tp,3
34,2026-01-27,2026-01-28,1,61,465.41881,480.534329,922.0467,0.032477,close_tp,1
35,2026-01-29,2026-01-29,-1,47,509.127877,495.539376,638.6596,0.02669,close_tp,0
36,2026-01-30,2026-01-30,-1,52,465.900312,453.530293,643.241,0.026551,close_tp,0
37,2026-02-02,2026-02-04,-1,25,433.684502,459.932491,-656.1997,-0.060523,close_sl,2
