trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-08,2025-07-21,1,18,306.529713,312.083262,99.9639,0.018117,close_tp,9
1,2025-07-22,2025-07-24,1,41,314.715871,309.032152,-233.0325,-0.01806,close_sl,2
2,2025-07-25,2025-07-30,1,32,308.050872,302.464481,-178.7645,-0.018135,close_sl,3
3,2025-07-31,2025-08-04,1,40,304.818439,309.6338,192.6145,0.015797,close_tp,2
4,2025-08-05,2025-08-19,1,28,310.602773,305.041037,-155.7286,-0.017906,close_horizon,10
5,2025-08-20,2025-08-28,1,51,307.770664,312.862177,259.6672,0.016543,close_tp,6
6,2025-08-29,2025-09-02,1,68,314.956041,319.452131,305.7341,0.014275,close_tp,1
7,2025-09-03,2025-09-08,1,67,328.00583,333.065214,338.9787,0.015425,close_tp,3
8,2025-09-09,2025-09-10,1,39,337.282771,331.174633,-238.2174,-0.01811,close_sl,1
9,2025-09-11,2025-09-15,1,34,333.620023,338.477351,165.1492,0.014559,close_tp,2
10,2025-09-16,2025-09-18,1,32,340.345064,335.020846,-170.375,-0.015644,close_sl,2
11,2025-09-22,2025-09-23,1,21,343.007063,347.937851,103.5466,0.014375,close_tp,1
12,2025-09-24,2025-09-29,1,18,346.960037,352.078443,92.1313,0.014752,close_tp,3
13,2025-10-14,2025-10-15,-1,12,377.926334,386.205637,-99.3516,-0.021907,close_sl,1
14,2025-10-16,2025-10-20,-1,19,390.856631,399.238304,-159.2518,-0.021444,close_sl,2
15,2025-10-21,2025-10-21,-1,18,386.250104,375.980974,184.8443,0.026587,close_tp,0
16,2025-12-12,2025-12-12,1,16,399.459374,392.634803,-109.1931,-0.017085,close_sl,0
17,2025-12-18,2025-12-22,1,24,398.578709,402.759104,100.3295,0.010488,close_tp,2
18,2025-12-23,2025-12-26,1,22,410.607713,416.107585,120.9972,0.013394,close_tp,2
