trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,1,177,487.52541,494.210364,1183.2369,0.013712,close_tp,1
1,2025-07-07,2025-07-09,1,162,494.878246,502.269115,1197.3209,0.014935,close_tp,2
2,2025-07-10,2025-07-17,1,153,500.519697,508.450876,1213.4703,0.015846,close_tp,5
3,2025-07-18,2025-07-21,1,163,511.892226,503.613806,-1349.3824,-0.016172,close_sl,1
4,2025-07-22,2025-07-23,1,165,508.399882,500.294098,-1337.4544,-0.015944,close_sl,1
5,2025-07-24,2025-07-25,1,174,506.210927,513.051523,1190.2637,0.013513,close_tp,1
6,2025-07-28,2025-07-31,1,175,511.494233,518.395212,1207.6712,0.013492,close_tp,3
7,2025-08-01,2025-08-01,1,137,532.308998,520.885143,-1565.0681,-0.021461,close_sl,0
8,2025-08-04,2025-08-18,1,128,525.612932,513.582124,-1539.9434,-0.022889,close_sl,10
9,2025-08-19,2025-08-26,1,106,512.40963,498.403817,-1484.6162,-0.027333,close_sl,5
10,2025-08-27,2025-09-11,1,105,500.29612,498.561071,-182.1802,-0.003468,close_horizon,10
11,2025-09-12,2025-09-15,1,132,504.930325,512.821495,1041.6345,0.015628,close_tp,1
12,2025-09-16,2025-09-17,1,112,515.125591,504.91493,-1143.5941,-0.019822,close_sl,1
13,2025-09-18,2025-10-02,1,115,509.75387,518.865459,1047.8327,0.017874,close_tp,10
14,2025-10-03,2025-10-06,1,104,515.344774,525.686539,1075.5436,0.020068,close_tp,1
15,2025-10-07,2025-10-09,1,115,526.496846,516.273904,-1175.6383,-0.019417,close_sl,2
16,2025-10-10,2025-10-10,1,110,517.87625,507.333814,-1159.6679,-0.020357,close_sl,0
17,2025-10-13,2025-10-27,1,102,514.657181,525.076497,1062.7703,0.020245,close_tp,10
18,2025-10-28,2025-10-29,1,131,548.13314,537.933147,-1336.1991,-0.018609,close_sl,1
19,2025-10-30,2025-10-31,1,122,528.679401,517.946549,-1309.408,-0.020301,close_sl,1
20,2025-11-03,2025-11-05,1,97,518.045615,504.773436,-1287.4014,-0.02562,close_sl,2
21,2025-11-06,2025-11-07,1,103,503.943667,491.849836,-1245.6646,-0.023998,close_sl,1
22,2025-11-10,2025-11-13,1,104,498.342769,509.347703,1144.5131,0.022083,close_tp,3
23,2025-11-14,2025-11-14,1,95,496.538921,508.80521,1165.2975,0.024704,close_tp,0
24,2025-11-17,2025-11-18,1,91,506.724233,493.072218,-1242.3333,-0.026942,close_sl,1
25,2025-11-19,2025-11-20,1,86,488.436507,474.103955,-1232.5994,-0.029344,close_sl,1
26,2025-11-21,2025-12-02,1,52,477.768395,491.392879,708.4732,0.028517,close_tp,6
27,2025-12-03,2025-12-08,1,58,475.591724,487.962753,717.5197,0.026012,close_tp,3
28,2025-12-09,2025-12-10,1,54,488.352192,474.040803,-772.8151,-0.029305,close_sl,1
29,2025-12-11,2025-12-26,1,53,475.901257,486.234416,547.6574,0.021713,close_horizon,10
30,2025-12-29,2026-01-02,1,78,484.11865,472.284221,-923.0855,-0.024445,close_sl,3
31,2026-01-05,2026-01-07,1,98,473.335165,483.274072,974.013,0.020998,close_tp,2
32,2026-01-08,2026-01-13,1,100,480.504195,469.892416,-1061.1779,-0.022085,close_sl,3
33,2026-01-14,2026-01-14,1,122,465.746805,457.076036,-1057.8339,-0.018617,close_sl,0
34,2026-01-15,2026-01-20,1,105,463.410387,453.545286,-1035.8357,-0.021288,close_sl,2
35,2026-01-21,2026-01-21,1,110,451.907997,442.765976,-1005.6222,-0.02023,close_sl,0
36,2026-01-22,2026-01-23,1,102,446.935587,456.031919,927.8259,0.020353,close_tp,1
37,2026-01-26,2026-01-27,1,75,464.59855,477.20173,945.2385,0.027127,close_tp,1
38,2026-01-28,2026-01-29,1,67,482.471174,467.551373,-999.6266,-0.030924,close_sl,1
39,2026-01-30,2026-02-03,1,28,438.49853,413.760347,-692.6691,-0.056416,close_sl,2
40,2026-02-04,2026-02-19,1,30,410.371606,398.161146,-366.3138,-0.029755,close_horizon,10
