trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,1,23,487.52541,494.210364,153.754,0.013712,close_tp,1
1,2025-07-07,2025-07-09,1,40,494.878246,502.269115,295.6348,0.014935,close_tp,2
2,2025-07-10,2025-07-17,1,37,500.519697,508.450876,293.4536,0.015846,close_tp,5
3,2025-07-18,2025-07-21,1,37,511.892226,503.613806,-306.3015,-0.016172,close_sl,1
4,2025-07-22,2025-07-23,1,34,508.399882,500.294098,-275.5967,-0.015944,close_sl,1
5,2025-07-24,2025-07-25,-1,27,505.452179,513.0515,-205.1817,-0.015035,close_sl,1
6,2025-07-28,2025-07-31,1,31,511.494233,518.395212,213.9303,0.013492,close_tp,3
7,2025-08-04,2025-08-18,1,12,525.612932,513.582124,-144.3697,-0.022889,close_sl,10
8,2025-08-19,2025-08-26,-1,22,511.641591,498.403823,291.2309,0.025873,close_tp,5
9,2025-08-27,2025-09-11,-1,17,499.546238,499.309474,4.025,0.000474,close_horizon,10
10,2025-09-12,2025-09-15,-1,19,504.173497,512.821528,-164.3126,-0.017153,close_sl,1
11,2025-09-16,2025-09-17,1,18,515.125591,504.91493,-183.7919,-0.019822,close_sl,1
12,2025-09-18,2025-10-02,1,12,509.75387,518.865459,109.3391,0.017874,close_tp,10
13,2025-10-03,2025-10-06,-1,26,514.572336,525.686569,-288.9701,-0.021599,close_sl,1
14,2025-10-07,2025-10-09,1,20,526.496846,516.273904,-204.4588,-0.019417,close_sl,2
15,2025-10-10,2025-10-14,-1,29,517.100017,507.333815,283.2199,0.018886,close_tp,2
16,2025-10-15,2025-10-22,-1,33,512.442906,522.988147,-347.993,-0.020578,close_sl,5
17,2025-10-23,2025-10-27,-1,31,519.906231,529.358521,-293.021,-0.018181,close_sl,2
18,2025-10-28,2025-10-29,1,22,548.13314,537.933147,-224.3998,-0.018609,close_sl,1
19,2025-10-30,2025-10-31,1,23,528.679401,517.946549,-246.8556,-0.020301,close_sl,1
20,2025-11-03,2025-11-06,-1,25,517.269129,504.773396,312.3933,0.024157,close_tp,3
21,2025-11-07,2025-11-11,-1,15,494.520901,507.090933,-188.5505,-0.025419,close_sl,2
22,2025-11-12,2025-11-18,-1,15,506.870219,494.845356,180.373,0.023724,close_tp,4
23,2025-11-19,2025-11-21,-1,10,487.704401,474.103911,136.0049,0.027887,close_tp,2
24,2025-11-24,2025-11-28,1,17,474.273755,487.74072,228.9384,0.028395,close_tp,3
25,2025-12-01,2025-12-15,-1,11,486.962206,474.27524,139.5566,0.026053,close_tp,10
26,2025-12-16,2025-12-18,-1,20,470.48221,484.278136,-275.9185,-0.029323,close_sl,2
27,2025-12-19,2026-01-02,-1,28,485.885451,473.177017,355.8362,0.026155,close_tp,8
28,2026-01-07,2026-01-13,-1,11,478.308475,468.073292,112.587,0.021399,close_tp,4
29,2026-01-21,2026-01-21,-1,15,451.230643,442.765926,126.9708,0.018759,close_tp,0
30,2026-01-22,2026-01-23,1,18,446.935587,456.031919,163.734,0.020353,close_tp,1
31,2026-01-26,2026-01-27,-1,12,463.902174,477.201733,-159.5947,-0.028669,close_sl,1
32,2026-01-28,2026-01-29,-1,13,481.748009,467.551401,184.5559,0.029469,close_tp,1
33,2026-02-02,2026-02-05,1,6,429.58218,405.34856,-145.4017,-0.056412,close_sl,3
34,2026-02-06,2026-02-10,1,12,398.559682,421.597764,276.457,0.057803,close_tp,2
