trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,1,29,487.52541,494.210364,193.8637,0.013712,close_tp,1
1,2025-07-07,2025-07-09,1,50,494.878246,502.269115,369.5435,0.014935,close_tp,2
2,2025-07-10,2025-07-17,1,47,500.519697,508.450876,372.7654,0.015846,close_tp,5
3,2025-07-18,2025-07-21,1,46,511.892226,503.613806,-380.8073,-0.016172,close_sl,1
4,2025-07-22,2025-07-23,1,43,508.399882,500.294098,-348.5487,-0.015944,close_sl,1
5,2025-07-24,2025-07-25,-1,34,505.452179,513.0515,-258.3769,-0.015035,close_sl,1
6,2025-07-28,2025-07-31,1,39,511.494233,518.395212,269.1382,0.013492,close_tp,3
7,2025-08-04,2025-08-18,1,18,525.612932,513.582124,-216.5545,-0.022889,close_sl,10
8,2025-08-19,2025-08-26,-1,32,511.641591,498.403823,423.6086,0.025873,close_tp,5
9,2025-08-27,2025-09-11,-1,25,499.546238,499.309474,5.9191,0.000474,close_horizon,10
10,2025-09-12,2025-09-15,-1,21,504.173497,512.821528,-181.6087,-0.017153,close_sl,1
11,2025-09-16,2025-09-17,1,20,515.125591,504.91493,-204.2132,-0.019822,close_sl,1
12,2025-09-18,2025-10-02,1,13,509.75387,518.865459,118.4507,0.017874,close_tp,10
13,2025-10-03,2025-10-06,-1,30,514.572336,525.686569,-333.427,-0.021599,close_sl,1
14,2025-10-07,2025-10-09,1,23,526.496846,516.273904,-235.1277,-0.019417,close_sl,2
15,2025-10-10,2025-10-14,-1,33,517.100017,507.333815,322.2847,0.018886,close_tp,2
16,2025-10-15,2025-10-22,-1,37,512.442906,522.988147,-390.1739,-0.020578,close_sl,5
17,2025-10-23,2025-10-27,-1,35,519.906231,529.358521,-330.8302,-0.018181,close_sl,2
18,2025-10-28,2025-10-29,1,29,548.13314,537.933147,-295.7998,-0.018609,close_sl,1
19,2025-10-30,2025-10-31,1,30,528.679401,517.946549,-321.9856,-0.020301,close_sl,1
20,2025-11-03,2025-11-06,-1,32,517.269129,504.773396,399.8634,0.024157,close_tp,3
21,2025-11-07,2025-11-11,-1,19,494.520901,507.090933,-238.8306,-0.025419,close_sl,2
22,2025-11-12,2025-11-18,-1,19,506.870219,494.845356,228.4724,0.023724,close_tp,4
23,2025-11-19,2025-11-21,-1,13,487.704401,474.103911,176.8064,0.027887,close_tp,2
24,2025-11-24,2025-11-28,1,13,474.273755,487.74072,175.0705,0.028395,close_tp,3
25,2025-12-01,2025-12-15,-1,9,486.962206,474.27524,114.1827,0.026053,close_tp,10
26,2025-12-16,2025-12-18,-1,16,470.48221,484.278136,-220.7348,-0.029323,close_sl,2
27,2025-12-19,2026-01-02,-1,23,485.885451,473.177017,292.294,0.026155,close_tp,8
28,2026-01-07,2026-01-13,-1,11,478.308475,468.073292,112.587,0.021399,close_tp,4
29,2026-01-21,2026-01-21,-1,16,451.230643,442.765926,135.4355,0.018759,close_tp,0
30,2026-01-22,2026-01-23,1,19,446.935587,456.031919,172.8303,0.020353,close_tp,1
31,2026-01-26,2026-01-27,-1,12,463.902174,477.201733,-159.5947,-0.028669,close_sl,1
32,2026-01-28,2026-01-29,-1,14,481.748009,467.551401,198.7525,0.029469,close_tp,1
33,2026-02-02,2026-02-05,1,4,429.58218,405.34856,-96.9345,-0.056412,close_sl,3
34,2026-02-06,2026-02-10,1,9,398.559682,421.597764,207.3427,0.057803,close_tp,2
