trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,1,158,544.547585,552.770411,1299.2066,0.0151,close_tp,1
1,2025-07-07,2025-07-18,1,155,551.885875,560.385196,1317.3947,0.015401,close_tp,9
2,2025-07-21,2025-07-29,1,183,560.430632,566.939276,1191.0819,0.011614,close_tp,6
3,2025-07-30,2025-07-31,1,183,566.502641,571.701702,951.4281,0.009177,close_tp,1
4,2025-08-01,2025-08-01,1,188,557.180204,551.74608,-1021.6154,-0.009753,close_sl,0
5,2025-08-04,2025-08-05,1,186,557.399553,563.824914,1195.1171,0.011527,close_tp,1
6,2025-08-06,2025-08-07,1,187,559.45348,567.269928,1461.6759,0.013972,close_tp,1
7,2025-08-08,2025-08-12,1,187,568.765946,577.093855,1557.3189,0.014642,close_tp,2
8,2025-08-13,2025-08-19,1,185,581.039599,570.980843,-1860.8698,-0.017312,close_sl,4
9,2025-08-20,2025-09-04,1,187,566.652131,572.672102,1125.7346,0.010624,close_horizon,10
10,2025-09-05,2025-09-05,1,162,578.776255,569.281119,-1538.2121,-0.016406,close_sl,0
11,2025-09-08,2025-09-12,1,161,576.662538,585.231447,1379.5943,0.014859,close_tp,4
12,2025-09-15,2025-09-18,1,170,586.702782,594.737212,1365.8531,0.013694,close_tp,3
13,2025-09-19,2025-09-25,1,182,595.566545,587.459375,-1475.505,-0.013613,close_sl,4
14,2025-09-26,2025-10-01,1,180,593.282307,600.164339,1238.7657,0.0116,close_tp,3
15,2025-10-02,2025-10-03,1,178,605.96949,600.072308,-1049.6984,-0.009732,close_sl,1
16,2025-10-06,2025-10-07,1,176,607.35698,601.398213,-1048.743,-0.009811,close_sl,1
17,2025-10-08,2025-10-10,1,175,604.322432,597.880753,-1127.2939,-0.010659,close_sl,2
18,2025-10-13,2025-10-20,1,135,598.602738,610.04942,1545.3021,0.019122,close_tp,5
19,2025-10-21,2025-10-27,1,119,610.541313,623.736247,1570.1971,0.021612,close_tp,4
20,2025-10-28,2025-11-06,1,71,629.227654,613.625036,-1107.7859,-0.024796,close_sl,7
21,2025-11-07,2025-11-18,1,64,607.217255,589.683106,-1122.1856,-0.028876,close_sl,7
22,2025-11-19,2025-11-20,1,74,595.997428,610.219292,1052.418,0.023862,close_tp,1
23,2025-11-21,2025-11-24,1,55,586.414664,601.353446,821.633,0.025475,close_tp,1
24,2025-11-25,2025-12-02,1,52,602.425924,618.450614,833.2839,0.0266,close_tp,4
25,2025-12-03,2025-12-17,1,52,618.506903,601.254421,-897.1291,-0.027894,close_sl,10
26,2025-12-18,2025-12-24,1,65,608.704553,621.808294,851.7432,0.021527,close_tp,4
27,2025-12-26,2025-12-31,1,98,624.341203,613.096133,-1102.0169,-0.018011,close_sl,3
28,2026-01-02,2026-01-02,1,120,619.743623,608.926862,-1298.0113,-0.017454,close_sl,0
29,2026-01-05,2026-01-20,1,119,619.003978,608.231484,-1281.9268,-0.017403,close_sl,10
30,2026-01-21,2026-01-21,1,122,609.158951,618.32231,1117.9298,0.015043,close_tp,0
31,2026-01-22,2026-01-28,1,120,622.03241,631.441364,1129.0745,0.015126,close_tp,4
32,2026-01-29,2026-01-29,1,123,632.327196,621.49323,-1332.5778,-0.017133,close_sl,0
33,2026-01-30,2026-02-03,1,121,625.390736,614.527359,-1314.4686,-0.017371,close_sl,2
34,2026-02-04,2026-02-04,1,108,614.706213,602.887595,-1276.4107,-0.019226,close_sl,0
35,2026-02-05,2026-02-09,1,104,599.903777,611.178072,1172.5267,0.018794,close_tp,2
36,2026-02-10,2026-02-12,1,88,614.996044,600.684149,-1259.4468,-0.023272,close_sl,2
