trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,1,159,612.50752,619.689684,1141.9641,0.011726,close_tp,1
1,2025-07-07,2025-07-21,1,158,618.580634,623.013895,700.4552,0.007167,close_horizon,10
2,2025-07-22,2025-07-24,1,163,624.276568,629.781609,897.3217,0.008818,close_tp,2
3,2025-07-25,2025-08-01,1,163,630.220662,624.325404,-960.927,-0.009354,close_sl,5
4,2025-08-04,2025-08-06,1,163,620.872833,627.207142,1032.4923,0.010202,close_tp,2
5,2025-08-07,2025-08-13,1,162,631.361787,638.984802,1234.9284,0.012074,close_tp,4
6,2025-08-14,2025-08-20,1,163,637.861623,628.736294,-1487.4286,-0.014306,close_sl,4
7,2025-08-21,2025-08-22,1,162,631.401565,639.390297,1294.1746,0.012652,close_tp,1
8,2025-08-25,2025-09-09,1,162,639.101993,644.376523,854.474,0.008253,close_horizon,10
9,2025-09-10,2025-09-18,1,161,648.608571,655.723039,1145.4293,0.010969,close_tp,6
10,2025-09-19,2025-09-25,1,160,659.074018,651.342227,-1237.0867,-0.011731,close_sl,4
11,2025-09-26,2025-09-30,1,159,656.267911,662.084464,924.8319,0.008863,close_tp,2
12,2025-10-01,2025-10-01,1,159,659.909832,664.837098,783.4353,0.007467,close_tp,0
13,2025-10-02,2025-10-10,1,159,667.154037,661.252289,-938.378,-0.008846,close_sl,6
14,2025-10-13,2025-10-20,1,143,657.402271,666.67272,1325.6743,0.014102,close_tp,5
15,2025-10-21,2025-10-27,1,132,668.139223,679.044934,1439.5539,0.016323,close_tp,4
16,2025-10-28,2025-11-04,1,87,683.672461,671.012463,-1101.4198,-0.018518,close_sl,5
17,2025-11-05,2025-11-07,1,82,671.661766,658.161708,-1107.0048,-0.020099,close_sl,2
18,2025-11-10,2025-11-14,1,104,673.91067,663.2358,-1110.1865,-0.01584,close_sl,4
19,2025-11-17,2025-11-18,1,95,666.407767,654.860886,-1096.9537,-0.017327,close_sl,1
20,2025-11-19,2025-11-20,1,93,657.531635,668.119734,984.6933,0.016103,close_tp,1
21,2025-11-21,2025-11-24,1,71,651.829766,662.960806,790.3039,0.017077,close_tp,1
22,2025-11-25,2025-11-26,1,67,665.343039,677.167943,792.2685,0.017773,close_tp,1
23,2025-11-28,2025-12-12,1,64,677.512862,677.39166,-7.7569,-0.000179,close_horizon,10
24,2025-12-15,2025-12-16,1,81,682.368892,671.519682,-878.786,-0.015899,close_sl,1
25,2025-12-17,2025-12-24,1,85,676.547646,685.873509,792.6983,0.013784,close_tp,5
26,2025-12-26,2025-12-31,1,145,689.275558,681.000366,-1199.9028,-0.012006,close_sl,3
27,2026-01-02,2026-01-07,1,153,684.355329,691.544852,1099.997,0.010506,close_tp,3
28,2026-01-08,2026-01-20,1,154,687.459165,678.819203,-1330.5541,-0.012568,close_sl,7
29,2026-01-21,2026-01-22,1,140,678.307274,686.703586,1175.4836,0.012378,close_tp,1
30,2026-01-23,2026-02-05,1,133,686.790475,677.05203,-1295.2133,-0.01418,close_sl,9
31,2026-02-06,2026-02-06,1,110,680.113692,689.372782,1018.5,0.013614,close_tp,0
32,2026-02-09,2026-02-13,1,93,688.057963,675.917581,-1129.0555,-0.017644,close_sl,4
