trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,-1,81,611.589447,619.689719,-656.122,-0.013245,close_sl,1
1,2025-07-07,2025-07-21,-1,82,617.653459,625.919688,-677.8308,-0.013383,close_sl,10
2,2025-07-22,2025-07-24,-1,40,623.340855,629.781582,-257.6291,-0.010333,close_sl,2
3,2025-07-25,2025-08-01,-1,59,629.27604,624.325393,292.0881,0.007867,close_tp,5
4,2025-08-04,2025-08-06,1,28,620.872833,627.207142,177.3606,0.010202,close_tp,2
5,2025-08-07,2025-08-13,-1,23,630.415454,638.984779,-197.0945,-0.013593,close_sl,4
6,2025-08-14,2025-08-20,-1,52,636.905547,628.736299,424.8009,0.012826,close_tp,4
7,2025-08-21,2025-08-22,-1,43,630.455173,639.390283,-384.2098,-0.014172,close_sl,1
8,2025-08-25,2025-09-09,-1,18,638.144058,645.343814,-129.5956,-0.011282,close_horizon,10
9,2025-09-10,2025-09-15,-1,32,647.636387,655.723024,-258.7724,-0.012486,close_sl,3
10,2025-09-16,2025-09-22,-1,47,655.414469,663.389469,-374.825,-0.012168,close_sl,4
11,2025-09-23,2025-09-24,-1,66,662.448007,657.034006,357.324,0.008173,close_tp,1
12,2025-09-25,2025-09-29,-1,45,653.724256,660.270632,-294.5869,-0.010014,close_sl,2
13,2025-09-30,2025-10-01,-1,36,658.682282,665.252465,-236.5266,-0.009975,close_sl,1
14,2025-10-02,2025-10-10,-1,44,666.154056,661.252268,215.6787,0.007358,close_tp,6
15,2025-10-13,2025-10-20,1,22,657.402271,666.67272,203.9499,0.014102,close_tp,5
16,2025-10-21,2025-10-27,-1,25,667.137765,679.044902,-297.6784,-0.017848,close_sl,4
17,2025-10-28,2025-11-05,-1,16,682.647721,671.012482,186.1638,0.017044,close_tp,6
18,2025-11-06,2025-11-07,-1,27,672.13551,659.693199,335.9424,0.018512,close_tp,1
19,2025-11-10,2025-11-14,-1,37,672.900561,663.235854,357.5942,0.014363,close_tp,4
20,2025-11-17,2025-11-18,-1,29,665.408904,654.860978,305.8899,0.015852,close_tp,1
21,2025-11-19,2025-11-20,-1,19,656.546076,668.119714,-219.8991,-0.017628,close_sl,1
22,2025-11-21,2025-11-24,-1,21,650.852754,662.960848,-254.27,-0.018603,close_sl,1
23,2025-11-25,2025-11-26,-1,23,664.345773,677.167995,-294.9111,-0.019301,close_sl,1
24,2025-11-28,2025-12-12,-1,14,676.497354,678.408511,-26.7562,-0.002825,close_horizon,10
25,2025-12-15,2025-12-17,-1,30,681.346106,671.519662,294.7933,0.014422,close_tp,2
26,2025-12-18,2025-12-22,-1,25,673.258238,683.833291,-264.3763,-0.015707,close_sl,2
27,2025-12-23,2026-01-07,-1,11,681.545725,691.005165,-104.0538,-0.013879,close_sl,9
28,2026-01-08,2026-01-20,-1,52,686.428749,678.819233,395.6948,0.011086,close_tp,7
29,2026-01-21,2026-01-22,1,21,678.307274,686.703586,176.3225,0.012378,close_tp,1
30,2026-01-23,2026-01-28,-1,15,685.761062,695.498733,-146.0651,-0.0142,close_sl,3
31,2026-01-29,2026-01-29,-1,15,693.972485,685.205219,131.509,0.012633,close_tp,0
32,2026-01-30,2026-02-04,-1,25,689.388395,680.661313,218.177,0.012659,close_tp,3
33,2026-02-05,2026-02-06,1,22,679.594754,688.147702,188.1648,0.012585,close_tp,1
34,2026-02-09,2026-02-13,1,21,688.057963,675.917581,-254.948,-0.017644,close_sl,4
