trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,-1,99,611.589447,619.689719,-801.9269,-0.013245,close_sl,1
1,2025-07-07,2025-07-21,-1,100,617.653459,625.919688,-826.6229,-0.013383,close_sl,10
2,2025-07-22,2025-07-24,-1,49,623.340855,629.781582,-315.5956,-0.010333,close_sl,2
3,2025-07-25,2025-08-01,-1,72,629.27604,624.325393,356.4465,0.007867,close_tp,5
4,2025-08-04,2025-08-06,1,51,620.872833,627.207142,323.0497,0.010202,close_tp,2
5,2025-08-07,2025-08-13,-1,41,630.415454,638.984779,-351.3423,-0.013593,close_sl,4
6,2025-08-14,2025-08-20,-1,93,636.905547,628.736299,759.7401,0.012826,close_tp,4
7,2025-08-21,2025-08-22,-1,76,630.455173,639.390283,-679.0684,-0.014172,close_sl,1
8,2025-08-25,2025-09-09,-1,32,638.144058,645.343814,-230.3922,-0.011282,close_horizon,10
9,2025-09-10,2025-09-15,-1,39,647.636387,655.723024,-315.3788,-0.012486,close_sl,3
10,2025-09-16,2025-09-22,-1,57,655.414469,663.389469,-454.575,-0.012168,close_sl,4
11,2025-09-23,2025-09-24,-1,78,662.448007,657.034006,422.292,0.008173,close_tp,1
12,2025-09-25,2025-09-29,-1,53,653.724256,660.270632,-346.9579,-0.010014,close_sl,2
13,2025-09-30,2025-10-01,-1,50,658.682282,665.252465,-328.5092,-0.009975,close_sl,1
14,2025-10-02,2025-10-10,-1,59,666.154056,661.252268,289.2055,0.007358,close_tp,6
15,2025-10-13,2025-10-20,1,29,657.402271,666.67272,268.843,0.014102,close_tp,5
16,2025-10-21,2025-10-27,-1,36,667.137765,679.044902,-428.6569,-0.017848,close_sl,4
17,2025-10-28,2025-11-05,-1,16,682.647721,671.012482,186.1638,0.017044,close_tp,6
18,2025-11-06,2025-11-07,-1,27,672.13551,659.693199,335.9424,0.018512,close_tp,1
19,2025-11-10,2025-11-14,-1,37,672.900561,663.235854,357.5942,0.014363,close_tp,4
20,2025-11-17,2025-11-18,-1,29,665.408904,654.860978,305.8899,0.015852,close_tp,1
21,2025-11-19,2025-11-20,-1,19,656.546076,668.119714,-219.8991,-0.017628,close_sl,1
22,2025-11-21,2025-11-24,-1,17,650.852754,662.960848,-205.8376,-0.018603,close_sl,1
23,2025-11-25,2025-11-26,-1,18,664.345773,677.167995,-230.8,-0.019301,close_sl,1
24,2025-11-28,2025-12-12,-1,11,676.497354,678.408511,-21.0227,-0.002825,close_horizon,10
25,2025-12-15,2025-12-17,-1,24,681.346106,671.519662,235.8346,0.014422,close_tp,2
26,2025-12-18,2025-12-22,-1,19,673.258238,683.833291,-200.926,-0.015707,close_sl,2
27,2025-12-23,2026-01-07,-1,12,681.545725,691.005165,-113.5133,-0.013879,close_sl,9
28,2026-01-08,2026-01-20,-1,63,686.428749,678.819233,479.3995,0.011086,close_tp,7
29,2026-01-21,2026-01-22,1,25,678.307274,686.703586,209.9078,0.012378,close_tp,1
30,2026-01-23,2026-01-28,-1,18,685.761062,695.498733,-175.2781,-0.0142,close_sl,3
31,2026-01-29,2026-01-29,-1,15,693.972485,685.205219,131.509,0.012633,close_tp,0
32,2026-01-30,2026-02-04,-1,26,689.388395,680.661313,226.9041,0.012659,close_tp,3
33,2026-02-05,2026-02-06,1,22,679.594754,688.147702,188.1648,0.012585,close_tp,1
34,2026-02-09,2026-02-13,1,21,688.057963,675.917581,-254.948,-0.017644,close_sl,4
