trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,1,697,143.409163,144.921154,1053.8575,0.010543,close_tp,1
1,2025-07-04,2025-07-08,1,698,144.689241,145.9952,911.5593,0.009026,close_tp,2
2,2025-07-09,2025-07-15,1,694,146.856341,148.278386,986.8987,0.009683,close_tp,4
3,2025-07-16,2025-07-16,1,692,148.76844,147.347532,-983.2679,-0.009551,close_sl,0
4,2025-07-17,2025-07-22,1,688,148.010406,146.567171,-992.9456,-0.009751,close_sl,3
5,2025-07-23,2025-07-28,1,687,146.792343,148.272186,1016.6522,0.010081,close_tp,3
6,2025-07-29,2025-07-31,1,686,148.486428,149.996,1035.5664,0.010166,close_tp,2
7,2025-08-01,2025-08-01,-1,683,150.764465,149.287764,1008.5865,0.009795,close_tp,0
8,2025-08-04,2025-08-18,-1,706,147.335635,147.271371,45.3707,0.000436,close_horizon,10
9,2025-08-19,2025-09-02,-1,620,147.908605,147.091354,506.6955,0.005525,close_horizon,10
10,2025-09-03,2025-09-05,-1,704,148.540577,147.341267,844.3143,0.008074,close_tp,2
11,2025-09-08,2025-09-09,-1,710,148.336577,147.00175,947.7273,0.008999,close_tp,1
12,2025-09-10,2025-09-24,-1,721,147.384629,148.737236,-975.2302,-0.009177,close_sl,10
13,2025-09-25,2025-10-01,1,708,148.758445,147.549022,-856.2711,-0.00813,close_sl,4
14,2025-10-02,2025-10-06,1,710,147.090347,148.368181,907.2625,0.008687,close_tp,2
15,2025-10-07,2025-10-08,1,701,150.33851,152.090195,1227.9311,0.011652,close_tp,1
16,2025-10-09,2025-10-16,1,698,152.687627,150.807459,-1312.3569,-0.012314,close_sl,5
17,2025-10-17,2025-10-21,1,701,150.127501,152.024998,1330.1456,0.012639,close_tp,2
18,2025-10-22,2025-10-30,1,563,151.9006,153.842907,1093.5191,0.012787,close_tp,6
19,2025-10-31,2025-11-14,1,597,153.907689,154.625264,428.3923,0.004662,close_horizon,10
20,2025-11-17,2025-11-19,1,699,154.625727,155.951502,926.7167,0.008574,close_tp,2
21,2025-11-20,2025-11-26,-1,695,156.984155,155.724586,875.4004,0.008024,close_tp,4
22,2025-11-27,2025-12-01,-1,704,156.204195,154.861143,945.5089,0.008598,close_tp,2
23,2025-12-02,2025-12-09,-1,713,155.53922,156.766238,-874.864,-0.007889,close_sl,5
24,2025-12-10,2025-12-11,-1,702,156.790164,155.746787,732.4509,0.006655,close_tp,1
25,2025-12-12,2025-12-19,-1,712,155.469231,156.681734,-863.3018,-0.007799,close_sl,5
26,2025-12-22,2025-12-23,1,697,157.616874,156.515574,-767.6062,-0.006987,close_sl,1
27,2025-12-24,2026-01-09,-1,699,156.157185,157.629281,-1028.9951,-0.009427,close_sl,10
28,2026-01-12,2026-01-26,-1,684,158.115095,156.737036,942.592,0.008716,close_tp,10
29,2026-01-27,2026-01-28,1,706,154.356716,152.478676,-1325.8968,-0.012167,close_sl,1
30,2026-01-29,2026-02-02,1,648,153.131649,155.157942,1313.0376,0.013232,close_tp,2
31,2026-02-03,2026-02-11,1,595,155.510781,153.204539,-1372.2138,-0.01483,close_sl,6
