trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-04,2025-07-08,1,85,144.689241,145.9952,111.0065,0.009026,close_tp,2
1,2025-07-24,2025-07-25,1,74,146.356316,147.78651,105.8343,0.009772,close_tp,1
2,2025-07-28,2025-07-31,1,83,147.820394,149.299135,122.7355,0.010004,close_tp,3
3,2025-08-01,2025-08-01,1,68,150.779542,149.287835,-101.436,-0.009893,close_sl,0
4,2025-08-06,2025-08-20,1,54,147.567376,147.723616,8.437,0.001059,close_horizon,10
5,2025-08-21,2025-09-04,1,76,147.325359,147.972597,49.1901,0.004393,close_horizon,10
6,2025-09-05,2025-09-05,1,99,148.382419,147.027748,-134.1124,-0.00913,close_sl,0
7,2025-09-08,2025-09-09,1,75,148.351411,147.00175,-101.2246,-0.009098,close_sl,1
8,2025-09-10,2025-09-24,1,110,147.399368,148.737263,147.1684,0.009077,close_tp,10
9,2025-09-25,2025-10-01,-1,132,148.74357,147.548977,157.6862,0.008031,close_tp,4
10,2025-10-02,2025-10-06,1,127,147.090347,148.368181,162.285,0.008687,close_tp,2
11,2025-10-07,2025-10-08,1,57,150.33851,152.090195,99.846,0.011652,close_tp,1
12,2025-10-17,2025-10-21,1,57,150.127501,152.024998,108.1573,0.012639,close_tp,2
13,2025-10-22,2025-10-30,1,70,151.9006,153.842907,135.9615,0.012787,close_tp,6
14,2025-10-31,2025-11-14,1,78,153.907689,154.625264,55.9709,0.004662,close_horizon,10
15,2025-11-17,2025-11-19,1,130,154.625727,155.951502,172.3507,0.008574,close_tp,2
16,2025-11-20,2025-11-26,1,128,156.999854,155.724513,-163.2436,-0.008123,close_sl,4
17,2025-11-27,2025-12-01,1,132,156.219816,154.861157,-179.3431,-0.008697,close_sl,2
18,2025-12-02,2025-12-09,1,180,155.554774,156.766261,218.0676,0.007788,close_tp,5
19,2025-12-10,2025-12-11,1,220,156.805844,155.746812,-232.987,-0.006754,close_sl,1
20,2025-12-12,2025-12-19,1,174,155.484779,156.681666,208.2583,0.007698,close_tp,5
21,2025-12-22,2025-12-23,1,195,157.616874,156.515574,-214.7535,-0.006987,close_sl,1
22,2025-12-24,2026-01-09,1,116,156.172802,157.629218,168.9443,0.009326,close_tp,10
23,2026-01-12,2026-01-26,1,123,158.130907,156.737063,-171.4429,-0.008814,close_sl,10
24,2026-01-27,2026-01-28,1,128,154.356716,152.478676,-240.3892,-0.012167,close_sl,1
25,2026-01-29,2026-02-02,1,100,153.131649,155.157942,202.6293,0.013232,close_tp,2
26,2026-02-03,2026-02-11,-1,76,155.495231,153.20456,174.091,0.014731,close_tp,6
