trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-04,2025-07-08,1,105,144.689241,145.9952,137.1257,0.009026,close_tp,2
1,2025-07-24,2025-07-25,1,90,146.356316,147.78651,128.7174,0.009772,close_tp,1
2,2025-07-28,2025-07-31,1,100,147.820394,149.299135,147.874,0.010004,close_tp,3
3,2025-08-01,2025-08-01,1,85,150.779542,149.287835,-126.7951,-0.009893,close_sl,0
4,2025-08-06,2025-08-20,1,67,147.567376,147.723616,10.4681,0.001059,close_horizon,10
5,2025-08-21,2025-09-04,1,95,147.325359,147.972597,61.4876,0.004393,close_horizon,10
6,2025-09-05,2025-09-05,1,109,148.382419,147.027748,-147.6591,-0.00913,close_sl,0
7,2025-09-08,2025-09-09,1,83,148.351411,147.00175,-112.0219,-0.009098,close_sl,1
8,2025-09-10,2025-09-24,1,121,147.399368,148.737263,161.8853,0.009077,close_tp,10
9,2025-09-25,2025-10-01,-1,176,148.74357,147.548977,210.2483,0.008031,close_tp,4
10,2025-10-02,2025-10-06,1,165,147.090347,148.368181,210.8427,0.008687,close_tp,2
11,2025-10-07,2025-10-08,1,74,150.33851,152.090195,129.6247,0.011652,close_tp,1
12,2025-10-17,2025-10-21,1,73,150.127501,152.024998,138.5173,0.012639,close_tp,2
13,2025-10-22,2025-10-30,1,72,151.9006,153.842907,139.8461,0.012787,close_tp,6
14,2025-10-31,2025-11-14,1,81,153.907689,154.625264,58.1236,0.004662,close_horizon,10
15,2025-11-17,2025-11-19,1,132,154.625727,155.951502,175.0023,0.008574,close_tp,2
16,2025-11-20,2025-11-26,1,161,156.999854,155.724513,-205.3298,-0.008123,close_sl,4
17,2025-11-27,2025-12-01,1,163,156.219816,154.861157,-221.4615,-0.008697,close_sl,2
18,2025-12-02,2025-12-09,1,222,155.554774,156.766261,268.9501,0.007788,close_tp,5
19,2025-12-10,2025-12-11,1,272,156.805844,155.746812,-288.0566,-0.006754,close_sl,1
20,2025-12-12,2025-12-19,1,214,155.484779,156.681666,256.1337,0.007698,close_tp,5
21,2025-12-22,2025-12-23,1,243,157.616874,156.515574,-267.6159,-0.006987,close_sl,1
22,2025-12-24,2026-01-09,1,119,156.172802,157.629218,173.3136,0.009326,close_tp,10
23,2026-01-12,2026-01-26,1,123,158.130907,156.737063,-171.4429,-0.008814,close_sl,10
24,2026-01-27,2026-01-28,1,156,154.356716,152.478676,-292.9744,-0.012167,close_sl,1
25,2026-01-29,2026-02-02,1,123,153.131649,155.157942,249.234,0.013232,close_tp,2
26,2026-02-03,2026-02-11,-1,96,155.495231,153.20456,219.9044,0.014731,close_tp,6
