trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-17,1,132,74.37574,76.102884,227.983,0.023222,close_horizon,10
1,2025-07-18,2025-07-30,1,175,77.027729,80.789662,658.3384,0.048839,close_tp,8
2,2025-07-31,2025-08-01,-1,391,79.800106,77.31094,973.2639,0.031193,close_tp,1
3,2025-08-04,2025-08-08,-1,383,75.583269,73.006614,986.859,0.03409,close_tp,4
4,2025-08-11,2025-08-25,-1,419,73.884547,75.806813,-805.4291,-0.026017,close_horizon,10
5,2025-08-26,2025-09-02,-1,420,74.524067,76.926652,-1009.0857,-0.032239,close_sl,4
6,2025-09-03,2025-09-05,1,599,75.666708,73.617745,-1227.3288,-0.027079,close_sl,2
7,2025-09-08,2025-09-16,1,528,73.545115,75.611649,1091.1296,0.028099,close_tp,6
8,2025-09-17,2025-09-22,1,469,75.466561,73.054568,-1131.2248,-0.031961,close_sl,3
9,2025-09-23,2025-09-25,1,474,74.415771,76.646172,1057.2104,0.029972,close_tp,2
10,2025-09-26,2025-09-29,1,466,77.117793,74.69064,-1131.0531,-0.031473,close_sl,1
11,2025-09-30,2025-10-02,1,434,73.925405,71.360939,-1112.9783,-0.03469,close_sl,2
12,2025-10-03,2025-10-08,1,470,71.823824,74.035931,1039.6904,0.030799,close_tp,3
13,2025-10-09,2025-10-10,1,484,73.865355,71.595963,-1098.3859,-0.030723,close_sl,1
14,2025-10-13,2025-10-16,1,435,70.36273,67.872058,-1083.4425,-0.035398,close_sl,3
15,2025-10-17,2025-10-22,1,452,67.770791,70.038432,1024.9735,0.03346,close_tp,3
16,2025-10-23,2025-11-06,1,410,73.164833,70.531662,-1079.6003,-0.03599,close_sl,10
17,2025-11-07,2025-11-21,1,300,71.333459,68.678852,-796.382,-0.037214,close_sl,10
18,2025-11-24,2025-12-04,1,428,69.321949,71.371431,877.1783,0.029565,close_tp,7
19,2025-12-05,2025-12-10,1,399,71.383499,69.096339,-912.577,-0.03204,close_sl,3
20,2025-12-11,2025-12-16,1,394,68.641439,66.371284,-894.4409,-0.033073,close_sl,3
21,2025-12-17,2025-12-22,1,455,67.270416,69.120221,841.6611,0.027498,close_tp,3
22,2025-12-23,2026-01-07,-1,420,69.567788,67.440242,893.5691,0.030582,close_tp,9
23,2026-01-08,2026-01-09,1,399,68.841593,71.028089,872.4117,0.031761,close_tp,1
24,2026-01-12,2026-01-13,1,343,71.013219,73.589367,883.6186,0.036277,close_tp,1
25,2026-01-14,2026-01-14,1,328,74.315697,71.468658,-933.8287,-0.03831,close_sl,0
26,2026-01-15,2026-01-27,1,339,71.653698,74.281247,890.739,0.03667,close_tp,7
27,2026-01-28,2026-01-29,1,331,76.317197,79.082943,915.462,0.03624,close_tp,1
28,2026-01-30,2026-02-02,1,277,79.499582,76.359687,-869.751,-0.039496,close_sl,1
29,2026-02-03,2026-02-11,1,238,75.906886,79.403503,832.1948,0.046065,close_tp,6
