trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-11,2025-07-25,1,31,76.147064,74.793861,-41.9493,-0.017771,close_horizon,10
1,2025-07-28,2025-07-29,1,79,76.757522,78.659861,150.2848,0.024784,close_tp,1
2,2025-08-04,2025-08-08,1,43,75.696729,73.006604,-115.6754,-0.035538,close_sl,4
3,2025-08-11,2025-08-13,1,54,73.995457,71.511826,-134.1161,-0.033565,close_sl,2
4,2025-09-02,2025-09-04,1,67,76.137062,74.19701,-129.9834,-0.025481,close_sl,2
5,2025-09-05,2025-09-16,1,94,73.074762,75.014197,182.3069,0.02654,close_tp,7
6,2025-09-22,2025-09-23,1,49,72.854603,75.052069,107.6758,0.030162,close_tp,1
7,2025-09-30,2025-10-02,1,41,73.925405,71.360939,-105.1431,-0.03469,close_sl,2
8,2025-10-03,2025-10-08,1,74,71.823824,74.035931,163.6959,0.030799,close_tp,3
9,2025-10-13,2025-10-16,1,55,70.36273,67.872058,-136.987,-0.035398,close_sl,3
10,2025-10-17,2025-10-22,1,90,67.770791,70.038432,204.0876,0.03346,close_tp,3
11,2025-11-06,2025-11-20,1,41,70.672968,70.097389,-23.5987,-0.008144,close_horizon,10
12,2025-11-21,2025-12-04,1,100,69.321949,71.348748,202.6799,0.029237,close_tp,8
13,2025-12-09,2025-12-15,1,57,70.432782,68.078803,-134.1768,-0.033422,close_sl,4
14,2025-12-16,2025-12-22,1,99,66.800062,68.507181,169.0047,0.025556,close_tp,4
