trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-11,2025-07-25,1,20,76.147064,74.793861,-27.0641,-0.017771,close_horizon,10
1,2025-07-28,2025-07-29,1,53,76.757522,78.659861,100.824,0.024784,close_tp,1
2,2025-08-04,2025-08-08,1,43,75.696729,73.006604,-115.6754,-0.035538,close_sl,4
3,2025-08-11,2025-08-13,1,54,73.995457,71.511826,-134.1161,-0.033565,close_sl,2
4,2025-09-02,2025-09-04,1,80,76.137062,74.19701,-155.2041,-0.025481,close_sl,2
5,2025-09-05,2025-09-16,1,107,73.074762,75.014197,207.5196,0.02654,close_tp,7
6,2025-09-22,2025-09-23,1,53,72.854603,75.052069,116.4657,0.030162,close_tp,1
7,2025-09-30,2025-10-02,1,45,73.925405,71.360939,-115.401,-0.03469,close_sl,2
8,2025-10-03,2025-10-08,1,80,71.823824,74.035931,176.9686,0.030799,close_tp,3
9,2025-10-13,2025-10-16,1,60,70.36273,67.872058,-149.4403,-0.035398,close_sl,3
10,2025-10-17,2025-10-22,1,97,67.770791,70.038432,219.9611,0.03346,close_tp,3
11,2025-11-06,2025-11-20,1,33,70.672968,70.097389,-18.9941,-0.008144,close_horizon,10
12,2025-11-21,2025-12-04,1,93,69.321949,71.348748,188.4923,0.029237,close_tp,8
13,2025-12-09,2025-12-15,1,52,70.432782,68.078803,-122.4069,-0.033422,close_sl,4
14,2025-12-16,2025-12-22,1,90,66.800062,68.507181,153.6407,0.025556,close_tp,4
